자치구,대여소명,기준년월,대여건수,반납건수,이용합계
강남구,2301. 현대고등학교 건너편,202306,"2,661","2,747",5408
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202306,"1,159","1,142",2301
강남구,2303. 논현역 10번출구,202306,"1,511","1,328",2839
강남구,2304. 대현그린타워,202306,253,132,385
강남구,2305. MCM 본사 직영점 앞,202306,339,342,681
강남구,2306. 압구정역 2번 출구 옆,202306,"2,390","2,344",4734
강남구,2307. 압구정 한양 3차 아파트,202306,734,617,1351
강남구,2308. 압구정파출소 앞,202306,"1,522","1,452",2974
강남구,2309. 청담역(우리들병원 앞),202306,531,279,810
강남구,2310. 청담동 맥도날드 옆(위치),202306,599,601,1200
강남구,2311. 학동로 래미안 아파트 앞,202306,209,152,361
강남구,2312. 청담역 13번 출구 앞,202306,621,599,1220
강남구,2313. 금원빌딩 앞,202306,744,773,1517
강남구,2314. 청담나들목입구,202306,849,841,1690
강남구,2315. 봉은사역 5번출구 옆,202306,"1,157","1,153",2310
강남구,2317. 삼성도로공원,202306,"1,115","1,131",2246
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202306,291,226,517
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202306,752,761,1513
강남구,2320. 도곡역 대치지구대 방향,202306,947,953,1900
강남구,2321. 학여울역 사거리,202306,729,699,1428
강남구,2323. 주식회사 오뚜기 정문 앞,202306,926,883,1809
강남구,2324. 천주교 대치 2동 교회 옆,202306,"1,502","1,500",3002
강남구,2325. 대치삼성아파트 앞 교차로,202306,"1,173","1,094",2267
강남구,2326. 대치동 삼성로,202306,545,380,925
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202306,"1,399","1,410",2809
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202306,874,862,1736
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202306,567,554,1121
강남구,2330. 역삼월드메르디앙아파트 앞,202306,714,707,1421
강남구,2331. 동영문화센터앞,202306,684,672,1356
강남구,2332. 선릉역3번출구,202306,"1,868","1,864",3732
강남구,2333. 양재역 3번출구 주변,202306,"1,243",906,2149
강남구,2334. 삼호아파트 2동 ( 간선도로),202306,258,242,500
강남구,2335. 3호선 매봉역 3번출구앞,202306,"2,203","2,213",4416
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,202306,517,485,1002
강남구,2337. 대모산입구역 2번출구 앞,202306,717,611,1328
강남구,2339. 현대아파트 정문 앞,202306,764,753,1517
강남구,2340. 삼호물산버스정류장(23370) 옆,202306,"3,264","3,347",6611
강남구,2341. 일원역 4~5번 출구 사이,202306,865,384,1249
강남구,2342. 대청역 1번출구  뒤,202306,"2,029","1,995",4024
강남구,2343. 세곡사거리 대왕파출소 앞,202306,107,97,204
강남구,2344. 리엔파크 2단지 앞,202306,701,783,1484
강남구,2347. 두산건설 본사,202306,220,105,325
강남구,2348. 포스코사거리(기업은행),202306,"2,157","2,153",4310
강남구,2349. 역삼빌딩 앞(하나은행 옆),202306,995,321,1316
강남구,2350. 래미안그레이튼102동앞,202306,277,272,549
강남구,2351. 청소년수련관(수영장)앞,202306,675,516,1191
강남구,2352. 서울본부세관(건설회관 앞),202306,149,137,286
강남구,2353. 강남구청역 2번출구 뒤,202306,746,477,1223
강남구,2354. 청담역 2번출구,202306,253,251,504
강남구,2356. 강남구청,202306,657,517,1174
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202306,518,486,1004
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202306,462,460,922
강남구,"2359. 국립국악중,고교 정문 맞은편",202306,"1,130","1,149",2279
강남구,2360. 도곡1동 주민센터 교차로,202306,820,824,1644
강남구,2362. 신사동 가로수길 입구,202306,"1,070",984,2054
강남구,2363. 강남 을지병원 교차로,202306,480,440,920
강남구,2364. 도산공원교차로,202306,684,674,1358
강남구,2365. K+ 타워 앞,202306,"1,040","1,033",2073
강남구,2368. 도곡동 경남아파트 건너편,202306,417,342,759
강남구,2369. KT선릉타워,202306,"1,450","1,444",2894
강남구,2370. 한티역 3번출구,202306,615,467,1082
강남구,2371. 한국우편사업진흥원,202306,281,174,455
강남구,2372. 대치역 사거리,202306,"1,620","1,689",3309
강남구,2373. 개포동역 사거리,202306,"1,002",864,1866
강남구,2375. 수서역 1번출구 앞,202306,"1,678","1,990",3668
강남구,2376. 수서역 6번출구 앞,202306,567,632,1199
강남구,2377. 수서역 5번출구,202306,"3,525","4,250",7775
강남구,2380. 삼성동베이직하우스앞,202306,457,427,884
강남구,2381. 언주역 6번출구앞,202306,542,506,1048
강남구,2382. 역삼동 sk뷰 501동앞,202306,562,563,1125
강남구,2383. 보금자리정원,202306,349,429,778
강남구,2384. 자곡사거리,202306,"2,518","2,765",5283
강남구,2385. 학동역,202306,700,679,1379
강남구,2386. 크린랩 본사,202306,485,286,771
강남구,2387. 래미안강남힐즈 사거리,202306,"1,369","1,405",2774
강남구,2388. 강남구 도시관리공단,202306,639,272,911
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202306,"1,377","1,354",2731
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202306,367,360,727
강남구,2391. 구룡터널 입구(개포1단지아파트),202306,15,14,29
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202306,223,96,319
강남구,2393. 구룡사 앞 교차로 (보도육교),202306,97,93,190
강남구,2394. 개포래미안포레스트아파트 107동 앞,202306,931,825,1756
강남구,2395. 개포1단지아파트 입구 (보도육교),202306,154,159,313
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202306,793,762,1555
강남구,2398. 더라움,202306,323,260,583
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202306,427,299,726
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202306,"1,352","1,263",2615
강남구,2404. 대모산입구역 4번 출구 앞,202306,"2,131","2,252",4383
강남구,2405. 청담공원앞 교차로,202306,"1,482",481,1963
강남구,2406. 논현동 광명빌딩 앞,202306,483,297,780
강남구,2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),202306,343,321,664
강남구,2408. 강남한양수자인아파트,202306,"1,253","1,167",2420
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202306,"1,160","1,145",2305
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),202306,"1,189",997,2186
강남구,2411. 세곡동 성당,202306,"1,197","1,231",2428
강남구,2412. 일원1동 주민센터,202306,"1,246","1,260",2506
강남구,2413.도곡역 1번 출구,202306,"1,441","1,464",2905
강남구,2414. 도곡역 아카데미스위트 앞,202306,"1,980","1,971",3951
강남구,2415.한티역 롯데백화점 앞,202306,"1,257","1,215",2472
강남구,2416.한티역 6번 출구,202306,708,550,1258
강남구,2417.선정릉 디캠프(D.CAMP)앞,202306,267,247,514
강남구,2418.봉은사역 7번 출구 ,202306,944,937,1881
강남구,"2419.봉은사역 1,2번 출구 ",202306,843,831,1674
강남구,2420.학여울역 사거리(LG베스트샵 앞),202306,994,939,1933
강남구,2421. 신논현역 4번출구,202306,"1,144",880,2024
강남구,2422.수서동 성당 맞은편,202306,862,880,1742
강남구,2423.영희초교 사거리(래미안개포루체하임),202306,"1,774","1,877",3651
강남구,2425.세곡동 사거리(대왕초등학교 정류장),202306,259,257,516
강남구,2426.강남한신휴플러스 6단지,202306,825,772,1597
강남구,2427.개포고등학교 정문앞,202306,730,729,1459
강남구,2428.롯데리아 개포점앞,202306,640,639,1279
강남구,2429.압구정로데오역 6번출구,202306,"1,304","1,279",2583
강남구,2430.강남파이낸스센터앞(역삼역2번출구),202306,653,552,1205
강남구,2431.대치역 7번출구,202306,"1,791","1,788",3579
강남구,3602. 한국지역난방공사강남지사,202306,500,571,1071
강남구,3604. 삼성중앙역 5번출구,202306,852,683,1535
강남구,3606. 신사동주민센터 옆,202306,"1,190","1,219",2409
강남구,3609. 언주초등학교 입구,202306,723,677,1400
강남구,3610. 윗반마을 입구,202306,216,200,416
강남구,3611. 방죽마을 입구,202306,499,521,1020
강남구,3612. 은곡마을,202306,779,"1,022",1801
강남구,3614. 은마아파트 입구 사거리,202306,"1,721","1,708",3429
강남구,3615. 서울 논현동우체국 앞,202306,353,283,636
강남구,3616. 역삼중학교 앞(체육관 방향),202306,370,315,685
강남구,3618. 서울율현초교 삼거리,202306,"1,081","1,237",2318
강남구,3620. 청담역 11번 출구,202306,271,65,336
강남구,3621. 휘문고교 사거리,202306,398,273,671
강남구,3622. 은마아파트입구 사거리(1),202306,216,205,421
강남구,3623. 일원에코파크 앞(개포로 방면),202306,676,656,1332
강남구,3624. 대모산입구역 7번 출구 앞,202306,541,400,941
강남구,3627. 압구정나들목,202306,"2,750","2,785",5535
강남구,3628. 역삼1동 주민센터,202306,"1,379","1,420",2799
강남구,3629. 청담사거리(신한오피스텔빌딩 앞),202306,642,910,1552
강남구,3630. 개포우성6차아파트 정문 앞,202306,480,455,935
강남구,3634. 국악고교 앞 교차로,202306,510,508,1018
강남구,3636. 삼성중앙역·플래티넘아파트 정류소,202306,755,765,1520
강남구,3637. 세곡데이케어센터,202306,328,283,611
강남구,3638. 신청담나들목,202306,800,835,1635
강남구,3640. 일원1동주민센터앞 사거리,202306,991,"1,004",1995
강남구,3641. 대청역,202306,"1,219","1,235",2454
강남구,3642. LH강남힐스테이트아파트,202306,"1,199",412,1611
강남구,3643. 더시그넘하우스 앞,202306,"1,011","1,070",2081
강남구,3644. 상록수아파트,202306,844,445,1289
강남구,3646. 선정릉역 4번 출구,202306,519,472,991
강남구,3647. 구룡역 1번 출구,202306,356,249,605
강남구,3648. 구룡역 4번 출구,202306,197,193,390
강남구,3649. 구룡역 5번 출구,202306,357,339,696
강남구,3651. 개포동역 4번출구,202306,"1,669","1,667",3336
강남구,4901.KT&G타워 옆(상상마당 대치아트홀),202306,556,460,1016
강남구,4902. 구역삼세무서 교차로,202306,"1,095","1,094",2189
강남구,4903. 신사스퀘어,202306,510,488,998
강남구,4905. 강남경찰서,202306,"1,747","1,815",3562
강남구,4906. 섬유센터 앞,202306,"2,095","2,126",4221
강남구,4907. 극동스포츠 앞,202306,608,535,1143
강남구,4908. SB타워 앞,202306,408,405,813
강남구,4909. 노보텔 앰배서더 앞,202306,271,171,442
강남구,4911. 도곡동 골프 로데오거리,202306,648,636,1284
강남구,4913. 레베쌍트 빌딩 앞,202306,599,600,1199
강남구,4914. 도심공항타워 앞,202306,"1,323","1,336",2659
강남구,4915. 영동중앙교회 버스정류장,202306,319,317,636
강남구,4916. 청담역 1번출구,202306,397,333,730
강남구,4917. 일원에코파크 주차장,202306,903,921,1824
강남구,4918. 매봉역 1번출구,202306,908,905,1813
강남구,4919. 학여울역사거리(은마아파트),202306,331,302,633
강남구,4923.수협대치동지점,202306,"1,058",996,2054
강남구,4924.논현동가구거리,202306,310,284,594
강동구,1001. 광진교 남단 사거리(천호공원 방면),202306,"2,336","2,330",4666
강동구,1002. 해공공원(천호동),202306,"3,273","3,312",6585
강동구,1003. 해공도서관앞,202306,"1,628","1,611",3239
강동구,1004. 삼성광나루아파트 버스정류장,202306,"2,378","3,130",5508
강동구,1006. 롯데캐슬 115동앞,202306,364,357,721
강동구,1007.암사동 선사유적지,202306,264,286,550
강동구,1008. 암사역 3번출구(국민은행앞),202306,"5,135","6,525",11660
강동구,1009. 천호역4번출구(현대백화점),202306,"7,456","7,506",14962
강동구,1010. 강동세무서,202306,"5,002","4,973",9975
강동구,1011. LIGA 아파트 앞,202306,"5,057","5,001",10058
강동구,1013. 강동구청역 1번 출입구,202306,"3,017","3,013",6030
강동구,1015. 샛마을 근린공원,202306,"1,288","1,272",2560
강동구,1016. 해뜨는 주유소옆 리엔파크 109동앞,202306,"1,031","1,057",2088
강동구,1017. 둔촌고교입구 교차로(길동주민센터 방면),202306,"2,816","2,803",5619
강동구,1018. 둔촌 주공 GS 맞은편,202306,979,977,1956
강동구,1019. 다성이즈빌아파트(호원대 대각선 맞은편),202306,"6,231","6,440",12671
강동구,1020. 강동경찰서,202306,"4,830","4,886",9716
강동구,1021. 강일동 리슈빌 빌딩앞,202306,"2,053","2,481",4534
강동구,1022. 길동 사거리(초소앞),202306,"2,695","2,697",5392
강동구,1023. 한국종합기술사옥 앞,202306,"3,413","3,533",6946
강동구,1024.  강동구청 앞,202306,"4,458","4,515",8973
강동구,1025. 상일초등학교,202306,951,981,1932
강동구,1027. 프라자 아파트 앞,202306,"1,487","1,508",2995
강동구,1028. 포레스 주상복합 빌딩,202306,"2,411","2,416",4827
강동구,1029. 성내어울터,202306,"4,855","4,812",9667
강동구,1030. 미호 플랜트 앞,202306,"1,799","1,780",3579
강동구,1031. 올림픽로 836(아리수로),202306,809,984,1793
강동구,1032. 선사고등학교,202306,924,962,1886
강동구,1033. 고덕동 아남아파트,202306,"1,605","1,230",2835
강동구,1034. 고덕동 래미안 힐스테이트,202306,579,510,1089
강동구,1035. 고덕역 4번출구,202306,"2,299","1,730",4029
강동구,1036. 고덕동 주양쇼핑,202306,"1,838","1,840",3678
강동구,1037. 강일리버파크 6단지,202306,372,365,737
강동구,1038. 강일 다솜 어린이 공원,202306,513,520,1033
강동구,1039. 고덕초등학교,202306,268,267,535
강동구,1041. 묘곡초등학교,202306,816,821,1637
강동구,1042. 강일리버파크 2~5단지,202306,896,"1,066",1962
강동구,1044. 굽은다리역,202306,"6,108","6,203",12311
강동구,1049. 강일리버파크 10단지,202306,"1,056","1,197",2253
강동구,1050.  둔촌역 3번 출입구,202306,"6,073","6,082",12155
강동구,"1051. 강일중,선사고 버스정류장(신암중학교 방면)",202306,"1,755","1,855",3610
강동구,1052. 리싸이클시티,202306,221,208,429
강동구,1053. 동명근린공원 진입로 (아리수로),202306,586,613,1199
강동구,1054. 말우물 어린이 공원,202306,542,568,1110
강동구,1056. 강일리버파크 7~11단지,202306,699,778,1477
강동구,1057. 능골근린공원,202306,"1,020","1,071",2091
강동구,1058. 고덕숲 아이파크 1,202306,400,374,774
강동구,1059. 래미안 강동팰리스(102동),202306,"2,187","1,639",3826
강동구,1060. 천일초교 사거리,202306,"1,270","1,267",2537
강동구,1061. 천호초교 입구 사거리(일주빌딩),202306,"1,557","1,553",3110
강동구,1062. 고덕숲 아이파크 2,202306,414,402,816
강동구,1063.강동롯데캐슬퍼스트 아파트(관리동),202306,964,970,1934
강동구,1064.중앙보훈병원역 1번출구,202306,498,391,889
강동구,1065.보훈병원 후문옆(더 원커피),202306,701,654,1355
강동구,1066.생태공원앞 교차로(조명탑),202306,382,259,641
강동구,1067.한영중고앞사거리,202306,880,857,1737
강동구,1068.명일파출소,202306,840,818,1658
강동구,1069.강동경희대학교병원 입구,202306,663,628,1291
강동구,1070.(시립)고덕평생학습관,202306,896,895,1791
강동구,1071.명일근린공원공동체텃밭,202306,382,386,768
강동구,1072.고덕역 5번출구,202306,"1,862","1,840",3702
강동구,1073. SSTS 몰 앞,202306,"1,361","1,370",2731
강동구,1074.대명초교입구 사거리,202306,"2,114","2,102",4216
강동구,1075.천동초교 삼거리,202306,"2,617","2,661",5278
강동구,1076. 천동초교입구사거리 버스정류장(십자성마을 방면),202306,"2,951","3,026",5977
강동구,1077.강동역 1번출구 앞,202306,"2,968","2,896",5864
강동구,1078.둔촌사거리,202306,"4,251","4,306",8557
강동구,1079.강일동입구교차로,202306,439,437,876
강동구,1080.엘웨딩,202306,"1,659","1,664",3323
강동구,1081.트레빌빌딩,202306,"2,111","1,905",4016
강동구,1082.중앙보훈병원역3번출구,202306,267,266,533
강동구,1083.광문고교사거리(아이파크),202306,"1,051","1,044",2095
강동구,1084. 윤선생빌딩(JYP사옥),202306,"4,667","5,175",9842
강동구,1085.래미안 솔베뉴(고덕로),202306,"1,652","1,015",2667
강동구,1086.래미안 솔베뉴(구천면로),202306,"1,006","1,008",2014
강동구,1088.풍납사거리(강동),202306,"2,157","2,125",4282
강동구,1089.고덕 래미안힐스테이트(201동),202306,325,292,617
강동구,1090.상일동역 2번출구 앞,202306,"3,126","3,151",6277
강동구,3539. 서원마을,202306,212,249,461
강동구,3652. 한영외국어고등학교,202306,417,383,800
강동구,3653. 강동리버스트4단지아파트 404동 앞,202306,537,540,1077
강동구,3654. 강동리버스트4단지아파트 405동 앞,202306,463,500,963
강동구,3655. 둔촌신성미소지움아파트,202306,"1,466","1,154",2620
강동구,3656. 둔촌푸르지오아파트,202306,"2,964","2,966",5930
강동구,3657. 서울천호동우체국,202306,"2,806","2,806",5612
강동구,3658. 프라이어팰리스아파트,202306,"1,114","1,104",2218
강동구,3659. 명일초등학교 옆,202306,471,413,884
강동구,3661. 명일동신동아아파트 앞,202306,580,580,1160
강동구,3663. 암사정수센터교차로(강동롯데캐슬퍼스트아파트),202306,564,391,955
강동구,3664. 맥도날드 서울둔촌DT점 앞,202306,"4,188","4,224",8412
강동구,3665. 고덕센트럴 아이파크상가 앞,202306,"1,061","1,049",2110
강동구,3668. 성내삼성아파트,202306,"4,443","4,757",9200
강동구,3671. 둔촌동역교차로,202306,"3,326","3,364",6690
강동구,3672. 고덕중학교 후문,202306,575,568,1143
강동구,3673. 강동리버스트6단지,202306,710,741,1451
강동구,3674. 강동리버스트7단지,202306,741,821,1562
강동구,3675. 강동리버스트8단지,202306,997,"1,103",2100
강동구,3676. 강동리엔파크9단지,202306,836,866,1702
강동구,3677. 강동구음식물재활용센터,202306,123,121,244
강동구,3680. 강동역3번출구,202306,"5,241","5,239",10480
강동구,3681. 길동 마루빌딩,202306,"6,190","6,788",12978
강동구,3682. 길동 동호빌딩,202306,728,738,1466
강동구,3683. KT&G강동지사,202306,"1,930","2,093",4023
강동구,3684. 고덕자이(105동 앞),202306,"1,712","1,776",3488
강동구,3685. 강동리엔파크14단지(1401동 앞),202306,"1,217","1,308",2525
강동구,3686. 고덕 래미안 힐스테이트(101동),202306,915,916,1831
강동구,3688. 상일동산(동아아파트앞 교차로),202306,489,475,964
강동구,3689. 강일역 3번출구,202306,"1,063","1,018",2081
강동구,3690. 강일역 4번출구,202306,602,453,1055
강동구,3691. 둔촌역 2번출구,202306,"1,015","1,032",2047
강동구,3692. 둔촌오륜역 1번 출구,202306,903,716,1619
강동구,3694. 강동리엔파크 13단지(1303동 앞),202306,"1,325","1,351",2676
강동구,3698. 명일역 3번출구 옆,202306,"2,583","2,579",5162
강동구,3699. 상일파출소 옆,202306,"2,106","2,095",4201
강동구,3700. 강변그대가리버뷰 입구 맞은편,202306,"2,183","2,471",4654
강동구,3701. 방아삼거리,202306,248,236,484
강동구,4951. 강동농협 버스정류소 앞(광채빌라),202306,"1,448","1,430",2878
강동구,4952.천호시장 버스정류소 옆,202306,"1,077","1,073",2150
강북구,"1501. 미아역 3번,4번 출구 사이",202306,"2,194","2,210",4404
강북구,1503. 강북구청사거리(수유역 8번출구),202306,"3,504","3,599",7103
강북구,1504. 삼양시장오거리,202306,472,475,947
강북구,1506. 강북문화예술회관,202306,"1,847","1,831",3678
강북구,1509. 서울북부수도사업소,202306,759,758,1517
강북구,1510. 번동주공5단지 관리사무소 앞,202306,402,393,795
강북구,1511. 번동 금호어울림아파트102동앞,202306,647,728,1375
