역명,기준년월,승차승객수,하차승객수,x,y
여의도,202306," 1,571,550 "," 1,599,625 ",37.521578,126.924318
여의나루,202306," 439,038 "," 484,634 ",37.527145,126.932807
국회의사당,202306," 448,979 "," 463,178 ",37.528105,126.917874
샛강,202306," 256,975 "," 268,719 ",37.517274,126.928422
