역명,기준년월,승차승객수,하차승객수,x,y
여의도,202302," 1,509,937 "," 1,494,723 ",37.521578,126.924318
여의나루,202302," 307,409 "," 359,936 ",37.527145,126.932807
국회의사당,202302," 429,332 "," 439,771 ",37.528105,126.917874
샛강,202302," 233,415 "," 247,229 ",37.517274,126.928422
