역명,기준년월,승차승객수,하차승객수,x,y
여의도,202303,1645492,1662505,37.521578,126.924318
여의나루,202303,"477,301","532,184",37.527145,126.932807
국회의사당,202303,"469,943","487,278",37.528105,126.917874
샛강,202303,264191,279642,37.517274,126.928422
