역명,기준년월,승차승객수,하차승객수,x,y
여의도,202301," 1,494,546 "," 1,477,651 ",37.521578,126.924318
여의나루,202301," 265,132 "," 311,861 ",37.527145,126.932807
국회의사당,202301," 414,881 "," 423,700 ",37.528105,126.917874
샛강,202301," 226,809 "," 240,781 ",37.517274,126.928422
