자치구,대여소명,기준년월,대여건수,반납건수,이용합계
강남구,2301. 현대고등학교 건너편,202305,"3,233","3,373",6606
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202305,"1,097","1,063",2160
강남구,2303. 논현역 10번출구,202305,"1,546","1,396",2942
강남구,2304. 대현그린타워,202305,405,194,599
강남구,2305. MCM 본사 직영점 앞,202305,435,448,883
강남구,2306. 압구정역 2번 출구 옆,202305,"2,659","2,484",5143
강남구,2307. 압구정 한양 3차 아파트,202305,805,673,1478
강남구,2308. 압구정파출소 앞,202305,"1,705","1,691",3396
강남구,2309. 청담역(우리들병원 앞),202305,627,356,983
강남구,2310. 청담동 맥도날드 옆(위치),202305,644,681,1325
강남구,2311. 학동로 래미안 아파트 앞,202305,587,237,824
강남구,2312. 청담역 13번 출구 앞,202305,785,676,1461
강남구,2313. 금원빌딩 앞,202305,962,"1,041",2003
강남구,2314. 청담나들목입구,202305,735,746,1481
강남구,2315. 봉은사역 5번출구 옆,202305,"1,190","1,155",2345
강남구,2317. 삼성도로공원,202305,"1,268","1,268",2536
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202305,503,271,774
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202305,932,934,1866
강남구,2320. 도곡역 대치지구대 방향,202305,881,874,1755
강남구,2321. 학여울역 사거리,202305,669,595,1264
강남구,2323. 주식회사 오뚜기 정문 앞,202305,"1,052","1,035",2087
강남구,2324. 천주교 대치 2동 교회 옆,202305,"1,417","1,423",2840
강남구,2325. 대치삼성아파트 앞 교차로,202305,"1,164","1,050",2214
강남구,2326. 대치동 삼성로,202305,595,432,1027
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202305,"1,698","1,713",3411
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202305,925,910,1835
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202305,693,651,1344
강남구,2330. 역삼월드메르디앙아파트 앞,202305,750,741,1491
강남구,2331. 동영문화센터앞,202305,722,696,1418
강남구,2332. 선릉역3번출구,202305,"2,015","1,996",4011
강남구,2333. 양재역 3번출구 주변,202305,"1,323",896,2219
강남구,2334. 삼호아파트 2동 ( 간선도로),202305,338,264,602
강남구,2335. 3호선 매봉역 3번출구앞,202305,"2,360","2,387",4747
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,202305,562,521,1083
강남구,2337. 대모산입구역 2번출구 앞,202305,756,695,1451
강남구,2339. 현대아파트 정문 앞,202305,789,745,1534
강남구,2340. 삼호물산버스정류장(23370) 옆,202305,"3,500","3,552",7052
강남구,2341. 일원역 4~5번 출구 사이,202305,880,390,1270
강남구,2342. 대청역 1번출구  뒤,202305,"2,195","2,186",4381
강남구,2343. 세곡사거리 대왕파출소 앞,202305,138,120,258
강남구,2344. 리엔파크 2단지 앞,202305,639,651,1290
강남구,2347. 두산건설 본사,202305,348,158,506
강남구,2348. 포스코사거리(기업은행),202305,"2,504","2,590",5094
강남구,2349. 역삼빌딩 앞(하나은행 옆),202305,"1,168",373,1541
강남구,2350. 래미안그레이튼102동앞,202305,331,315,646
강남구,2351. 청소년수련관(수영장)앞,202305,645,522,1167
강남구,2352. 서울본부세관(건설회관 앞),202305,246,139,385
강남구,2353. 강남구청역 2번출구 뒤,202305,921,631,1552
강남구,2354. 청담역 2번출구,202305,272,265,537
강남구,2356. 강남구청,202305,854,645,1499
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202305,663,625,1288
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202305,486,470,956
강남구,"2359. 국립국악중,고교 정문 맞은편",202305,"1,225","1,259",2484
강남구,2360. 도곡1동 주민센터 교차로,202305,943,930,1873
강남구,2362. 신사동 가로수길 입구,202305,"1,102","1,047",2149
강남구,2363. 강남 을지병원 교차로,202305,512,460,972
강남구,2364. 도산공원교차로,202305,960,927,1887
강남구,2365. K+ 타워 앞,202305,"1,057","1,103",2160
강남구,2368. 도곡동 경남아파트 건너편,202305,460,396,856
강남구,2369. KT선릉타워,202305,"1,539","1,529",3068
강남구,2370. 한티역 3번출구,202305,659,488,1147
강남구,2371. 한국우편사업진흥원,202305,350,188,538
강남구,2372. 대치역 사거리,202305,"1,428","1,427",2855
강남구,2373. 개포동역 사거리,202305,"1,066",909,1975
강남구,2375. 수서역 1번출구 앞,202305,"1,860","2,083",3943
강남구,2376. 수서역 6번출구 앞,202305,638,642,1280
강남구,2377. 수서역 5번출구,202305,"3,720","4,422",8142
강남구,2380. 삼성동베이직하우스앞,202305,524,425,949
강남구,2381. 언주역 6번출구앞,202305,653,582,1235
강남구,2382. 역삼동 sk뷰 501동앞,202305,623,614,1237
강남구,2383. 보금자리정원,202305,353,419,772
강남구,2384. 자곡사거리,202305,"2,477","2,609",5086
강남구,2385. 학동역,202305,753,723,1476
강남구,2386. 크린랩 본사,202305,437,277,714
강남구,2387. 래미안강남힐즈 사거리,202305,"1,379","1,460",2839
강남구,2388. 강남구 도시관리공단,202305,757,296,1053
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202305,"1,334","1,343",2677
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202305,430,383,813
강남구,2391. 구룡터널 입구(개포1단지아파트),202305,18,18,36
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202305,256,108,364
강남구,2393. 구룡사 앞 교차로 (보도육교),202305,122,120,242
강남구,2394. 개포래미안포레스트아파트 107동 앞,202305,942,772,1714
강남구,2395. 개포1단지아파트 입구 (보도육교),202305,234,233,467
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202305,774,736,1510
강남구,2398. 더라움,202305,450,364,814
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202305,514,297,811
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202305,"1,218","1,133",2351
강남구,2404. 대모산입구역 4번 출구 앞,202305,"2,196","2,328",4524
강남구,2405. 청담공원앞 교차로,202305,"1,376",485,1861
강남구,2406. 논현동 광명빌딩 앞,202305,520,348,868
강남구,2408. 강남한양수자인아파트,202305,"1,195","1,182",2377
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202305,"1,215","1,209",2424
