자치구,대여소명,기준년월,대여건수,반납건수,이용합계
강남구,2301. 현대고등학교 건너편,202304,"2,766","2,666",5432
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202304,331,260,591
강남구,2303. 논현역 10번출구,202304,"1,613","1,278",2891
강남구,2304. 대현그린타워,202304,401,137,538
강남구,2305. MCM 본사 직영점 앞,202304,352,338,690
강남구,2306. 압구정역 2번 출구 옆,202304,"2,210","2,126",4336
강남구,2307. 압구정 한양 3차 아파트,202304,660,596,1256
강남구,2308. 압구정파출소 앞,202304,"1,488","1,438",2926
강남구,2309. 청담역(우리들병원 앞),202304,519,278,797
강남구,2310. 청담동 맥도날드 옆(위치),202304,548,517,1065
강남구,2311. 학동로 래미안 아파트 앞,202304,433,181,614
강남구,2312. 청담역 13번 출구 앞,202304,707,581,1288
강남구,2313. 금원빌딩 앞,202304,862,841,1703
강남구,2314. 청담나들목입구,202304,682,665,1347
강남구,2315. 봉은사역 5번출구 옆,202304,902,832,1734
강남구,2317. 삼성도로공원,202304,"1,076","1,052",2128
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202304,285,200,485
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202304,810,788,1598
강남구,2320. 도곡역 대치지구대 방향,202304,725,724,1449
강남구,2321. 학여울역 사거리,202304,525,427,952
강남구,2323. 주식회사 오뚜기 정문 앞,202304,883,844,1727
강남구,2324. 천주교 대치 2동 교회 옆,202304,"1,134","1,090",2224
강남구,2325. 대치삼성아파트 앞 교차로,202304,829,777,1606
강남구,2326. 대치동 삼성로,202304,496,311,807
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202304,"1,337","1,352",2689
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202304,812,758,1570
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202304,679,649,1328
강남구,2330. 역삼월드메르디앙아파트 앞,202304,641,609,1250
강남구,2331. 동영문화센터앞,202304,658,607,1265
강남구,2332. 선릉역3번출구,202304,"1,745","1,707",3452
강남구,2333. 양재역 3번출구 주변,202304,"1,162",740,1902
강남구,2334. 삼호아파트 2동 ( 간선도로),202304,294,222,516
강남구,2335. 3호선 매봉역 3번출구앞,202304,"1,969","1,981",3950
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,202304,618,478,1096
강남구,2337. 대모산입구역 2번출구 앞,202304,647,542,1189
강남구,2339. 현대아파트 정문 앞,202304,686,618,1304
강남구,2340. 삼호물산버스정류장(23370) 옆,202304,"2,947","2,904",5851
강남구,2341. 일원역 4~5번 출구 사이,202304,695,353,1048
강남구,2342. 대청역 1번출구  뒤,202304,"1,830","1,763",3593
강남구,2343. 세곡사거리 대왕파출소 앞,202304,118,90,208
강남구,2344. 리엔파크 2단지 앞,202304,479,481,960
강남구,2347. 두산건설 본사,202304,307,167,474
강남구,2348. 포스코사거리(기업은행),202304,"2,055","2,023",4078
강남구,2349. 역삼빌딩 앞(하나은행 옆),202304,"1,074",299,1373
강남구,2350. 래미안그레이튼102동앞,202304,284,270,554
강남구,2351. 청소년수련관(수영장)앞,202304,530,419,949
강남구,2352. 서울본부세관(건설회관 앞),202304,241,132,373
강남구,2353. 강남구청역 2번출구 뒤,202304,819,526,1345
강남구,2354. 청담역 2번출구,202304,279,262,541
강남구,2356. 강남구청,202304,662,449,1111
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202304,460,430,890
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202304,428,399,827
강남구,"2359. 국립국악중,고교 정문 맞은편",202304,996,929,1925
강남구,2360. 도곡1동 주민센터 교차로,202304,756,739,1495
강남구,2362. 신사동 가로수길 입구,202304,"1,029",964,1993
강남구,2363. 강남 을지병원 교차로,202304,480,419,899
강남구,2364. 도산공원교차로,202304,698,656,1354
강남구,2365. K+ 타워 앞,202304,955,920,1875
강남구,2368. 도곡동 경남아파트 건너편,202304,526,380,906
강남구,2369. KT선릉타워,202304,"1,340","1,308",2648
강남구,2370. 한티역 3번출구,202304,537,374,911
강남구,2371. 한국우편사업진흥원,202304,387,183,570
강남구,2372. 대치역 사거리,202304,"1,147","1,206",2353
강남구,2373. 개포동역 사거리,202304,883,691,1574
강남구,2375. 수서역 1번출구 앞,202304,"1,479","1,540",3019
강남구,2376. 수서역 6번출구 앞,202304,483,488,971
강남구,2377. 수서역 5번출구,202304,"3,456","3,704",7160
강남구,2380. 삼성동베이직하우스앞,202304,482,363,845
강남구,2381. 언주역 6번출구앞,202304,537,523,1060
강남구,2382. 역삼동 sk뷰 501동앞,202304,511,485,996
강남구,2383. 보금자리정원,202304,314,348,662
강남구,2384. 자곡사거리,202304,"2,073","2,106",4179
강남구,2385. 학동역,202304,675,651,1326
강남구,2386. 크린랩 본사,202304,511,248,759
강남구,2387. 래미안강남힐즈 사거리,202304,"1,103","1,090",2193
강남구,2388. 강남구 도시관리공단,202304,621,229,850
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202304,"1,025",986,2011
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202304,323,306,629
강남구,2391. 구룡터널 입구(개포1단지아파트),202304,10,11,21
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202304,235,123,358
강남구,2393. 구룡사 앞 교차로 (보도육교),202304,136,133,269
강남구,2394. 개포래미안포레스트아파트 107동 앞,202304,801,635,1436
강남구,2395. 개포1단지아파트 입구 (보도육교),202304,188,174,362
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202304,749,672,1421
강남구,2398. 더라움,202304,414,290,704
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202304,450,246,696
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202304,895,779,1674
강남구,2404. 대모산입구역 4번 출구 앞,202304,"1,880","1,886",3766
강남구,2405. 청담공원앞 교차로,202304,"1,031",354,1385
강남구,2406. 논현동 광명빌딩 앞,202304,422,260,682
강남구,2408. 강남한양수자인아파트,202304,"1,078","1,016",2094
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202304,"1,025",976,2001
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),202304,"1,264","1,091",2355
강남구,2411. 세곡동 성당,202304,965,994,1959
강남구,2412. 일원1동 주민센터,202304,"1,098","1,049",2147
강남구,2413.도곡역 1번 출구,202304,"1,359","1,343",2702
강남구,2414. 도곡역 아카데미스위트 앞,202304,"1,715","1,689",3404
