자치구,대여소명,기준년월,대여건수,반납건수,이용합계
강남구,2301. 현대고등학교 건너편,202303,"2,258","2,364",4622
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202303,988,949,1937
강남구,2303. 논현역 10번출구,202303,"1,240","1,018",2258
강남구,2304. 대현그린타워,202303,335,136,471
강남구,2305. MCM 본사 직영점 앞,202303,373,386,759
강남구,2306. 압구정역 2번 출구 옆,202303,"2,119","2,045",4164
강남구,2307. 압구정 한양 3차 아파트,202303,533,452,985
강남구,2308. 압구정파출소 앞,202303,"1,345","1,343",2688
강남구,2309. 청담역(우리들병원 앞),202303,317,200,517
강남구,2310. 청담동 맥도날드 옆(위치),202303,518,529,1047
강남구,2311. 학동로 래미안 아파트 앞,202303,278,140,418
강남구,2312. 청담역 13번 출구 앞,202303,650,593,1243
강남구,2313. 금원빌딩 앞,202303,805,837,1642
강남구,2314. 청담나들목입구,202303,534,541,1075
강남구,2315. 봉은사역 5번출구 옆,202303,927,844,1771
강남구,2317. 삼성도로공원,202303,987,"1,003",1990
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202303,377,194,571
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202303,699,696,1395
강남구,2320. 도곡역 대치지구대 방향,202303,730,731,1461
강남구,2321. 학여울역 사거리,202303,479,460,939
강남구,2323. 주식회사 오뚜기 정문 앞,202303,751,760,1511
강남구,2324. 천주교 대치 2동 교회 옆,202303,"1,027","1,046",2073
강남구,2325. 대치삼성아파트 앞 교차로,202303,746,737,1483
강남구,2326. 대치동 삼성로,202303,500,330,830
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202303,"1,202","1,194",2396
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202303,622,626,1248
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202303,515,497,1012
강남구,2330. 역삼월드메르디앙아파트 앞,202303,555,557,1112
강남구,2331. 동영문화센터앞,202303,529,514,1043
강남구,2332. 선릉역3번출구,202303,"1,507","1,492",2999
강남구,2333. 양재역 3번출구 주변,202303,947,634,1581
강남구,2334. 삼호아파트 2동 ( 간선도로),202303,250,210,460
강남구,2335. 3호선 매봉역 3번출구앞,202303,"1,764","1,803",3567
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,202303,387,343,730
강남구,2337. 대모산입구역 2번출구 앞,202303,543,463,1006
강남구,2339. 현대아파트 정문 앞,202303,617,593,1210
강남구,2340. 삼호물산버스정류장(23370) 옆,202303,"2,657","2,731",5388
강남구,2341. 일원역 4~5번 출구 사이,202303,679,349,1028
강남구,2342. 대청역 1번출구  뒤,202303,"1,724","1,757",3481
강남구,2343. 세곡사거리 대왕파출소 앞,202303,88,103,191
강남구,2344. 리엔파크 2단지 앞,202303,471,530,1001
강남구,2347. 두산건설 본사,202303,222,116,338
강남구,2348. 포스코사거리(기업은행),202303,"1,827","1,834",3661
강남구,2349. 역삼빌딩 앞(하나은행 옆),202303,542,258,800
강남구,2350. 래미안그레이튼102동앞,202303,240,228,468
강남구,2351. 청소년수련관(수영장)앞,202303,521,428,949
강남구,2352. 서울본부세관(건설회관 앞),202303,199,120,319
강남구,2353. 강남구청역 2번출구 뒤,202303,523,398,921
강남구,2354. 청담역 2번출구,202303,203,201,404
강남구,2356. 강남구청,202303,469,379,848
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202303,386,386,772
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202303,435,436,871
강남구,"2359. 국립국악중,고교 정문 맞은편",202303,968,977,1945
강남구,2360. 도곡1동 주민센터 교차로,202303,710,700,1410
강남구,2362. 신사동 가로수길 입구,202303,893,888,1781
강남구,2363. 강남 을지병원 교차로,202303,455,363,818
강남구,2364. 도산공원교차로,202303,689,653,1342
강남구,2365. K+ 타워 앞,202303,840,870,1710
강남구,2368. 도곡동 경남아파트 건너편,202303,323,267,590
강남구,2369. KT선릉타워,202303,"1,107","1,108",2215
강남구,2370. 한티역 3번출구,202303,385,330,715
강남구,2371. 한국우편사업진흥원,202303,280,137,417
강남구,2372. 대치역 사거리,202303,"1,058","1,127",2185
강남구,2373. 개포동역 사거리,202303,716,683,1399
강남구,2375. 수서역 1번출구 앞,202303,"1,492","1,557",3049
강남구,2376. 수서역 6번출구 앞,202303,422,437,859
강남구,2377. 수서역 5번출구,202303,"3,450","3,629",7079
강남구,2380. 삼성동베이직하우스앞,202303,465,370,835
강남구,2381. 언주역 6번출구앞,202303,405,400,805
강남구,2382. 역삼동 sk뷰 501동앞,202303,490,489,979
강남구,2383. 보금자리정원,202303,326,330,656
강남구,2384. 자곡사거리,202303,"1,850","1,994",3844
강남구,2385. 학동역,202303,618,594,1212
강남구,2386. 크린랩 본사,202303,318,187,505
강남구,2387. 래미안강남힐즈 사거리,202303,911,"1,000",1911
강남구,2388. 강남구 도시관리공단,202303,530,218,748
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202303,754,694,1448
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202303,304,308,612
강남구,2391. 구룡터널 입구(개포1단지아파트),202303,9,7,16
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202303,178,93,271
강남구,2393. 구룡사 앞 교차로 (보도육교),202303,97,88,185
강남구,2394. 개포래미안포레스트아파트 107동 앞,202303,682,627,1309
강남구,2395. 개포1단지아파트 입구 (보도육교),202303,148,148,296
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202303,641,621,1262
강남구,2398. 더라움,202303,247,202,449
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202303,334,204,538
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202303,759,718,1477
강남구,2404. 대모산입구역 4번 출구 앞,202303,"1,655","1,681",3336
강남구,2405. 청담공원앞 교차로,202303,721,304,1025
강남구,2406. 논현동 광명빌딩 앞,202303,280,229,509
강남구,2408. 강남한양수자인아파트,202303,"1,040","1,021",2061
강남구,2409. 역삼동 디오슈페리움 (우성아파트 사거리),202303,"1,007",986,1993
강남구,2410. 포스코피앤에스타워 (역삼역 3번출구 부근),202303,"1,072",950,2022
강남구,2411. 세곡동 성당,202303,779,792,1571
강남구,2412. 일원1동 주민센터,202303,"1,097","1,066",2163
강남구,2413.도곡역 1번 출구,202303,"1,277","1,282",2559
강남구,2414. 도곡역 아카데미스위트 앞,202303,"1,546","1,517",3063
강남구,2415.한티역 롯데백화점 앞,202303,"1,055","1,031",2086
강남구,2416.한티역 6번 출구,202303,516,440,956
강남구,2417.선정릉 디캠프(D.CAMP)앞,202303,301,298,599
강남구,2418.봉은사역 7번 출구 ,202303,789,770,1559
강남구,"2419.봉은사역 1,2번 출구 ",202303,702,689,1391
강남구,2420.학여울역 사거리(LG베스트샵 앞),202303,"1,075",887,1962
강남구,2421. 신논현역 4번출구,202303,855,675,1530
강남구,2422.수서동 성당 맞은편,202303,689,751,1440
강남구,2423.영희초교 사거리(래미안개포루체하임),202303,"1,287","1,307",2594
강남구,2425.세곡동 사거리(대왕초등학교 정류장),202303,199,208,407
강남구,2426.강남한신휴플러스 6단지,202303,733,669,1402
강남구,2427.개포고등학교 정문앞,202303,442,432,874
강남구,2428.롯데리아 개포점앞,202303,609,585,1194
강남구,2429.압구정로데오역 6번출구,202303,"1,061","1,001",2062
강남구,2430.강남파이낸스센터앞(역삼역2번출구),202303,594,477,1071
강남구,2431.대치역 7번출구,202303,"1,686","1,683",3369
강남구,3602. 한국지역난방공사강남지사,202303,449,557,1006
강남구,3604. 삼성중앙역 5번출구,202303,701,524,1225
강남구,3606. 신사동주민센터 옆,202303,968,960,1928
강남구,3609. 언주초등학교 입구,202303,592,580,1172
강남구,3610. 윗반마을 입구,202303,132,102,234
강남구,3611. 방죽마을 입구,202303,361,402,763
강남구,3612. 은곡마을,202303,520,733,1253
강남구,3614. 은마아파트 입구 사거리,202303,"1,491","1,493",2984
강남구,3615. 서울 논현동우체국 앞,202303,295,267,562
강남구,3616. 역삼중학교 앞(체육관 방향),202303,305,236,541
강남구,3618. 서울율현초교 삼거리,202303,987,"1,090",2077
강남구,3620. 청담역 11번 출구,202303,75,28,103
강남구,3621. 휘문고교 사거리,202303,385,266,651
강남구,3622. 은마아파트입구 사거리(1),202303,212,212,424
강남구,3623. 일원에코파크 앞(개포로 방면),202303,628,637,1265
강남구,3624. 대모산입구역 7번 출구 앞,202303,320,203,523
강남구,3627. 압구정나들목,202303,"2,027","2,089",4116
강남구,3628. 역삼1동 주민센터,202303,"1,092","1,069",2161
강남구,3629. 청담사거리(신한오피스텔빌딩 앞),202303,509,607,1116
강남구,3630. 개포우성6차아파트 정문 앞,202303,454,423,877
강남구,3634. 국악고교 앞 교차로,202303,489,494,983
강남구,3636. 삼성중앙역·플래티넘아파트 정류소,202303,553,530,1083
강남구,3637. 세곡데이케어센터,202303,193,207,400
강남구,3638. 신청담나들목,202303,493,513,1006
강남구,3640. 일원1동주민센터앞 사거리,202303,733,727,1460
강남구,3641. 대청역,202303,870,884,1754
강남구,3642. LH강남힐스테이트아파트,202303,739,291,1030
강남구,3643. 더시그넘하우스 앞,202303,676,681,1357
강남구,3644. 상록수아파트,202303,589,358,947
강남구,3646. 선정릉역 4번 출구,202303,434,383,817
강남구,3647. 구룡역 1번 출구,202303,272,236,508
강남구,3648. 구룡역 4번 출구,202303,182,178,360
강남구,3649. 구룡역 5번 출구,202303,293,304,597
강남구,3651. 개포동역 4번출구,202303,"1,338","1,331",2669
강남구,4901.KT&G타워 옆(상상마당 대치아트홀),202303,619,487,1106
강남구,4902. 구역삼세무서 교차로,202303,715,713,1428
강남구,4903. 신사스퀘어,202303,381,380,761
