자치구,대여소명,기준년월,대여건수,반납건수,이용합계
강남구,2301. 현대고등학교 건너편,202302,876,978,1854
강남구,2302. 교보타워 버스정류장(신논현역 3번출구 후면),202302,696,679,1375
강남구,2303. 논현역 10번출구,202302,937,716,1653
강남구,2304. 대현그린타워,202302,330,97,427
강남구,2305. MCM 본사 직영점 앞,202302,233,249,482
강남구,2306. 압구정역 2번 출구 옆,202302,"1,216","1,202",2418
강남구,2307. 압구정 한양 3차 아파트,202302,298,284,582
강남구,2308. 압구정파출소 앞,202302,806,800,1606
강남구,2309. 청담역(우리들병원 앞),202302,203,109,312
강남구,2310. 청담동 맥도날드 옆(위치),202302,281,300,581
강남구,2311. 학동로 래미안 아파트 앞,202302,129,114,243
강남구,2312. 청담역 13번 출구 앞,202302,268,270,538
강남구,2313. 금원빌딩 앞,202302,455,483,938
강남구,2314. 청담나들목입구,202302,234,238,472
강남구,2315. 봉은사역 5번출구 옆,202302,479,479,958
강남구,2317. 삼성도로공원,202302,424,427,851
강남구,2318. 삼성중앙역4번출구(문화센터더 리빌),202302,178,107,285
강남구,2319. 포스코사거리 서측(수협 삼성동 지점),202302,479,466,945
강남구,2320. 도곡역 대치지구대 방향,202302,325,426,751
강남구,2321. 학여울역 사거리,202302,301,286,587
강남구,2323. 주식회사 오뚜기 정문 앞,202302,452,493,945
강남구,2324. 천주교 대치 2동 교회 옆,202302,717,714,1431
강남구,2325. 대치삼성아파트 앞 교차로,202302,490,475,965
강남구,2326. 대치동 삼성로,202302,368,260,628
강남구,2327. 뱅뱅사거리 랜드마크타워 앞,202302,736,771,1507
강남구,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,202302,404,403,807
강남구,2329. 르네상스호텔사거리 역삼지하보도 2번출구,202302,307,300,607
강남구,2330. 역삼월드메르디앙아파트 앞,202302,347,349,696
강남구,2331. 동영문화센터앞,202302,396,392,788
강남구,2332. 선릉역3번출구,202302,996,968,1964
강남구,2333. 양재역 3번출구 주변,202302,757,473,1230
강남구,2334. 삼호아파트 2동 ( 간선도로),202302,173,159,332
강남구,2335. 3호선 매봉역 3번출구앞,202302,"1,112","1,192",2304
강남구,2336. 강남세브란스교차로  래미안그레이튼 104동 앞,202302,369,351,720
강남구,2337. 대모산입구역 2번출구 앞,202302,357,302,659
강남구,2339. 현대아파트 정문 앞,202302,355,352,707
강남구,2340. 삼호물산버스정류장(23370) 옆,202302,"1,489","1,647",3136
강남구,2341. 일원역 4~5번 출구 사이,202302,394,202,596
강남구,2342. 대청역 1번출구  뒤,202302,973,"1,019",1992
강남구,2343. 세곡사거리 대왕파출소 앞,202302,46,46,92
강남구,2344. 리엔파크 2단지 앞,202302,231,262,493
강남구,2347. 두산건설 본사,202302,111,82,193
강남구,2348. 포스코사거리(기업은행),202302,"1,094","1,068",2162
강남구,2349. 역삼빌딩 앞(하나은행 옆),202302,449,183,632
강남구,2350. 래미안그레이튼102동앞,202302,147,138,285
강남구,2351. 청소년수련관(수영장)앞,202302,244,193,437
강남구,2352. 서울본부세관(건설회관 앞),202302,104,74,178
강남구,2353. 강남구청역 2번출구 뒤,202302,302,286,588
강남구,2354. 청담역 2번출구,202302,101,102,203
강남구,2356. 강남구청,202302,212,179,391
강남구,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),202302,270,256,526
강남구,2358. 구룡초사거리 (현대아파트10동 앞 ),202302,272,269,541
강남구,"2359. 국립국악중,고교 정문 맞은편",202302,590,626,1216
강남구,2360. 도곡1동 주민센터 교차로,202302,490,485,975
