역명,기준년월,승차승객수,하차승객수,x,y
여의도,202304," 1,562,753 "," 1,576,005 ",37.521578,126.924318
여의나루,202304," 550,525 "," 629,788 ",37.527145,126.932807
국회의사당,202304," 499,011 "," 508,430 ",37.528105,126.917874
샛강,202304," 255,965 "," 267,980 ",37.517274,126.928422
